,Adgrl1
796,1.0
797,1.0
798,5.0
799,4.0
800,0.0
801,5.0
802,9.0
803,2.0
804,6.0
805,0.0
806,5.0
807,9.0
808,0.0
809,14.0
810,6.0
811,5.0
812,1.0
813,0.0
814,5.0
815,5.0
816,7.0
817,1.0
818,2.0
819,0.0
820,0.0
821,4.0
822,14.0
823,4.0
824,3.0
825,1.0
826,16.0
827,0.0
828,0.0
829,9.0
830,6.0
831,1.0
832,0.0
833,0.0
834,2.0
835,1.0
836,0.0
837,0.0
838,3.0
839,2.0
840,0.0
841,0.0
842,1.0
843,2.0
844,1.0
845,1.0
846,0.0
847,1.0
848,2.0
849,1.0
850,6.0
851,0.0
852,1.0
853,3.0
854,3.0
855,3.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,5.0
863,2.0
864,0.0
865,1.0
866,1.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,2.0
873,0.0
874,3.0
875,0.0
876,1.0
877,3.0
878,0.0
879,1.0
880,5.0
881,1.0
882,5.0
883,2.0
884,1.0
885,0.0
886,1.0
887,1.0
888,0.0
889,1.0
890,21.0
891,2.0
892,0.0
893,1.0
894,0.0
895,0.0
896,1.0
897,0.0
898,0.0
899,0.0
900,3.0
901,0.0
902,2.0
903,2.0
904,0.0
905,1.0
906,0.0
907,1.0
908,0.0
909,2.0
910,0.0
911,1.0
912,0.0
913,0.0
914,0.0
915,2.0
916,0.0
917,0.0
918,2.0
919,1.0
920,1.0
921,1.0
922,3.0
923,2.0
924,2.0
925,4.0
926,1.0
927,1.0
928,6.0
929,1.0
930,5.0
931,1.0
932,2.0
933,0.0
934,4.0
935,2.0
936,0.0
937,8.0
938,2.0
939,12.0
940,3.0
941,4.0
942,12.0
943,1.0
944,2.0
945,9.0
946,5.0
947,2.0
948,3.0
949,0.0
950,1.0
951,3.0
952,2.0
953,1.0
954,3.0
955,1.0
956,12.0
957,1.0
958,3.0
959,3.0
960,8.0
961,1.0
962,1.0
963,1.0
964,7.0
965,4.0
966,0.0
967,0.0
968,8.0
969,13.0
970,7.0
971,0.0
972,6.0
973,1.0
974,3.0
975,0.0
976,11.0
977,11.0
978,4.0
979,5.0
980,8.0
981,4.0
982,4.0
983,6.0
984,4.0
985,3.0
986,3.0
987,1.0
988,6.0
989,1.0
990,0.0
991,1.0
992,6.0
993,3.0
994,0.0
995,0.0
996,2.0
997,1.0
998,0.0
999,3.0
1000,2.0
1001,6.0
1002,7.0
