,Epha4
1118,2.0
1119,11.0
1120,37.0
1121,17.0
1122,12.0
1123,11.0
1124,17.0
1125,5.0
1126,6.0
1127,3.0
1128,15.0
1129,3.0
1130,2.0
1131,5.0
1132,3.0
1133,30.0
1134,40.0
1135,23.0
1136,3.0
1137,12.0
1138,33.0
1139,26.0
1140,12.0
1141,14.0
1142,9.0
1143,2.0
1144,37.0
1145,3.0
1146,0.0
1147,9.0
1148,1.0
1149,36.0
1150,3.0
1151,7.0
1152,1.0
1153,1.0
1154,4.0
1155,7.0
1156,0.0
1157,10.0
1158,3.0
1159,0.0
1160,0.0
1161,4.0
1162,25.0
1163,23.0
1164,6.0
1165,18.0
1166,8.0
1167,34.0
1168,24.0
1169,9.0
1170,21.0
1171,12.0
1172,13.0
1173,3.0
1174,0.0
1175,19.0
1176,29.0
1177,2.0
1178,3.0
1179,2.0
1180,12.0
1181,14.0
1182,0.0
1183,15.0
1184,1.0
1185,11.0
1186,18.0
1187,8.0
1188,5.0
1189,12.0
1190,19.0
1191,2.0
1192,1.0
1193,2.0
1194,20.0
1195,29.0
1196,14.0
1197,25.0
1198,0.0
1199,3.0
1200,25.0
1201,4.0
1202,11.0
1203,27.0
1204,11.0
1205,9.0
1206,0.0
1207,5.0
1208,7.0
1209,0.0
1210,2.0
1211,13.0
1212,2.0
1213,42.0
1214,3.0
1215,6.0
1216,21.0
1217,7.0
1218,2.0
1219,17.0
1220,5.0
1221,9.0
1222,11.0
1223,18.0
1224,8.0
1225,1.0
1226,11.0
1227,28.0
1228,4.0
1229,1.0
1230,27.0
1231,20.0
1232,2.0
1233,2.0
1234,29.0
1235,15.0
1236,1.0
1237,13.0
1238,10.0
1239,11.0
1240,11.0
1241,0.0
1242,35.0
1243,1.0
1244,5.0
1245,16.0
1246,24.0
1247,3.0
1248,12.0
1249,4.0
1250,22.0
1251,3.0
1252,9.0
1253,3.0
1254,1.0
1255,8.0
1256,0.0
1257,3.0
1258,1.0
1259,18.0
1260,8.0
1261,6.0
1262,14.0
1263,23.0
1264,4.0
1265,21.0
1266,4.0
1267,35.0
1268,1.0
1269,10.0
1270,25.0
1271,24.0
1272,25.0
1273,13.0
1274,21.0
1275,2.0
1276,9.0
1277,14.0
1278,25.0
