,Fzd3
883,0.0
884,1.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,6.0
891,0.0
892,0.0
893,1.0
894,0.0
895,0.0
896,0.0
897,1.0
898,0.0
899,0.0
900,1.0
901,0.0
902,1.0
903,1.0
904,0.0
905,0.0
906,0.0
907,1.0
908,2.0
909,2.0
910,0.0
911,1.0
912,0.0
913,1.0
914,0.0
915,2.0
916,0.0
917,0.0
918,0.0
919,1.0
920,2.0
921,0.0
922,1.0
923,0.0
924,1.0
925,0.0
926,0.0
927,1.0
928,0.0
929,0.0
930,7.0
931,1.0
932,1.0
933,0.0
934,0.0
935,1.0
936,0.0
937,2.0
938,5.0
939,19.0
940,5.0
941,8.0
942,26.0
943,2.0
944,11.0
945,8.0
946,0.0
947,4.0
948,1.0
949,0.0
950,0.0
951,5.0
952,0.0
953,0.0
954,2.0
955,1.0
956,12.0
957,1.0
958,4.0
959,7.0
960,15.0
961,0.0
962,0.0
963,0.0
964,12.0
965,9.0
966,1.0
967,1.0
968,11.0
969,22.0
970,11.0
971,0.0
972,27.0
973,2.0
974,9.0
975,2.0
976,19.0
977,11.0
978,6.0
979,18.0
980,12.0
981,2.0
982,18.0
983,1.0
984,7.0
985,8.0
986,2.0
987,7.0
988,11.0
989,3.0
990,0.0
991,2.0
992,6.0
993,4.0
994,0.0
995,0.0
996,1.0
997,1.0
998,0.0
999,16.0
1000,0.0
1001,7.0
1002,6.0
1003,8.0
1004,13.0
1005,0.0
1006,11.0
1007,20.0
1008,11.0
1009,10.0
1010,19.0
1011,21.0
1012,33.0
1013,2.0
1014,6.0
1015,6.0
1016,2.0
1017,0.0
1018,0.0
1019,17.0
1020,8.0
1021,12.0
1022,2.0
1023,8.0
1024,4.0
1025,7.0
1026,5.0
1027,0.0
1028,2.0
1029,0.0
1030,15.0
1031,12.0
1032,0.0
1033,18.0
1034,8.0
1035,25.0
1036,9.0
1037,26.0
1038,13.0
1039,1.0
1040,8.0
1041,13.0
1042,8.0
1043,2.0
1044,22.0
1045,6.0
1046,0.0
1047,0.0
1048,3.0
1049,16.0
1050,6.0
1051,14.0
1052,17.0
1053,7.0
1054,28.0
1055,9.0
1056,7.0
1057,18.0
1058,16.0
1059,3.0
1060,20.0
1061,3.0
1062,5.0
1063,2.0
1064,0.0
1065,10.0
1066,1.0
1067,0.0
1068,6.0
1069,18.0
1070,0.0
1071,6.0
1072,0.0
1073,16.0
1074,3.0
1075,12.0
1076,20.0
1077,11.0
1078,5.0
1079,16.0
1080,4.0
1081,5.0
1082,17.0
1083,3.0
1084,10.0
1085,2.0
1086,13.0
1087,1.0
1088,6.0
1089,10.0
1090,12.0
1091,2.0
1092,11.0
1093,12.0
1094,0.0
1095,24.0
1096,21.0
1097,1.0
1098,3.0
1099,18.0
1100,1.0
1101,22.0
1102,23.0
1103,10.0
1104,11.0
1105,4.0
1106,3.0
1107,1.0
1108,4.0
1109,9.0
1110,18.0
1111,20.0
1112,4.0
1113,8.0
1114,0.0
1115,1.0
1116,8.0
1117,4.0
1118,1.0
1119,9.0
1120,31.0
1121,11.0
1122,6.0
1123,5.0
1124,17.0
1125,6.0
1126,6.0
1127,5.0
1128,11.0
1129,2.0
1130,1.0
1131,5.0
1132,13.0
1133,19.0
1134,14.0
1135,30.0
1136,2.0
1137,14.0
1138,21.0
1139,22.0
1140,8.0
1141,11.0
1142,8.0
1143,0.0
1144,19.0
1145,1.0
1146,0.0
1147,4.0
1148,1.0
1149,14.0
1150,13.0
1151,1.0
1152,0.0
1153,0.0
1154,6.0
1155,1.0
1156,1.0
1157,4.0
1158,2.0
1159,0.0
1160,0.0
1161,1.0
1162,16.0
1163,7.0
1164,0.0
1165,16.0
1166,4.0
1167,18.0
1168,10.0
1169,7.0
1170,4.0
1171,12.0
1172,6.0
1173,2.0
1174,2.0
1175,8.0
1176,6.0
1177,1.0
1178,5.0
1179,2.0
1180,9.0
1181,13.0
1182,0.0
1183,11.0
1184,2.0
1185,18.0
1186,15.0
1187,1.0
1188,3.0
1189,8.0
1190,15.0
1191,4.0
1192,1.0
1193,5.0
1194,6.0
1195,17.0
1196,15.0
1197,12.0
1198,6.0
1199,0.0
1200,21.0
1201,0.0
1202,6.0
1203,17.0
1204,6.0
1205,4.0
1206,0.0
1207,1.0
1208,5.0
1209,6.0
1210,2.0
1211,6.0
1212,4.0
1213,16.0
1214,0.0
1215,15.0
1216,7.0
1217,2.0
1218,1.0
1219,9.0
1220,9.0
1221,3.0
1222,14.0
1223,13.0
1224,2.0
1225,5.0
1226,4.0
1227,15.0
1228,6.0
1229,0.0
1230,8.0
1231,9.0
1232,0.0
1233,1.0
1234,21.0
1235,19.0
1236,1.0
1237,12.0
1238,9.0
1239,6.0
1240,5.0
1241,0.0
1242,21.0
1243,0.0
1244,3.0
1245,10.0
1246,11.0
1247,4.0
1248,8.0
1249,0.0
1250,14.0
1251,1.0
1252,2.0
1253,0.0
1254,0.0
1255,16.0
1256,3.0
1257,0.0
1258,2.0
1259,13.0
1260,6.0
1261,4.0
1262,11.0
1263,6.0
1264,0.0
1265,13.0
1266,3.0
1267,24.0
1268,5.0
1269,5.0
1270,3.0
1271,28.0
1272,4.0
1273,7.0
1274,15.0
1275,0.0
1276,10.0
1277,17.0
1278,21.0
1279,6.0
1280,10.0
1281,7.0
1282,1.0
1283,5.0
1284,8.0
1285,6.0
1286,6.0
1287,0.0
1288,6.0
1289,2.0
1290,2.0
1291,4.0
1292,5.0
1293,3.0
1294,3.0
1295,1.0
1296,0.0
1297,22.0
1298,3.0
1299,8.0
1300,14.0
1301,1.0
1302,10.0
1303,8.0
1304,13.0
1305,3.0
1306,1.0
1307,0.0
1308,3.0
1309,14.0
1310,8.0
1311,11.0
1312,2.0
1313,7.0
1314,16.0
1315,1.0
1316,5.0
1317,1.0
1318,1.0
1319,2.0
1320,27.0
1321,22.0
1322,2.0
1323,18.0
1324,0.0
1325,6.0
1326,6.0
1327,5.0
1328,9.0
1329,19.0
1330,13.0
1331,9.0
1332,26.0
1333,8.0
1334,1.0
1335,15.0
1336,7.0
1337,18.0
1338,0.0
1339,9.0
1340,9.0
1341,4.0
1342,5.0
1343,2.0
1344,1.0
1345,5.0
1346,6.0
1347,4.0
1348,0.0
1349,2.0
1350,12.0
1351,0.0
1352,5.0
1353,11.0
1354,24.0
1355,2.0
1356,1.0
1357,5.0
1358,7.0
1359,5.0
1360,15.0
1361,9.0
1362,22.0
1363,1.0
1364,2.0
1365,7.0
1366,3.0
1367,7.0
1368,19.0
1369,12.0
1370,8.0
1371,15.0
1372,5.0
1373,6.0
1374,17.0
1375,5.0
1376,1.0
1377,20.0
1378,1.0
1379,0.0
1380,17.0
1381,1.0
1382,6.0
1383,3.0
1384,2.0
1385,1.0
1386,7.0
1387,1.0
1388,3.0
1389,0.0
1390,1.0
1391,11.0
1392,11.0
1393,3.0
1394,12.0
1395,2.0
1396,1.0
1397,5.0
1398,8.0
1399,0.0
1400,0.0
1401,2.0
1402,15.0
1403,0.0
1404,0.0
1405,9.0
1406,3.0
1407,5.0
1408,2.0
1409,1.0
1410,10.0
1411,16.0
1412,0.0
1413,4.0
1414,2.0
1415,2.0
1416,11.0
1417,10.0
1418,4.0
1419,2.0
1420,22.0
1421,17.0
1422,3.0
1423,7.0
1424,13.0
1425,18.0
1426,9.0
1427,7.0
1428,0.0
1429,17.0
1430,5.0
1431,7.0
1432,0.0
1433,6.0
1434,0.0
1435,10.0
1436,1.0
1437,1.0
1438,4.0
1439,0.0
1440,4.0
1441,11.0
1442,11.0
1443,3.0
1444,7.0
1445,6.0
1446,7.0
1447,1.0
1448,1.0
1449,20.0
1450,3.0
1451,4.0
1452,8.0
1453,0.0
1454,15.0
1455,8.0
1456,0.0
1457,5.0
1458,8.0
1459,6.0
1460,25.0
1461,13.0
1462,2.0
1463,6.0
1464,6.0
1465,7.0
1466,13.0
1467,7.0
1468,0.0
1469,4.0
1470,3.0
1471,15.0
1472,3.0
1473,16.0
1474,0.0
1475,4.0
1476,26.0
1477,12.0
1478,7.0
1479,4.0
1480,5.0
1481,4.0
1482,4.0
1483,9.0
1484,1.0
1485,18.0
1486,8.0
1487,16.0
1488,9.0
1489,1.0
1490,5.0
1491,20.0
1492,2.0
1493,18.0
1494,14.0
1495,3.0
1496,6.0
1497,27.0
1498,0.0
