,Sema4d
1516,2.0
1517,0.0
1518,1.0
1519,0.0
1520,2.0
1521,0.0
1522,1.0
1523,1.0
1524,1.0
1525,1.0
1526,1.0
1527,0.0
1528,1.0
1529,1.0
1530,0.0
1531,1.0
1532,1.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,3.0
1539,20.0
1540,1.0
1541,0.0
1542,0.0
1543,1.0
1544,2.0
1545,1.0
1546,1.0
1547,2.0
1548,1.0
1549,1.0
1550,3.0
1551,0.0
1552,2.0
1553,0.0
1554,3.0
1555,0.0
1556,1.0
1557,0.0
1558,0.0
1559,1.0
1560,0.0
1561,2.0
1562,2.0
1563,0.0
1564,1.0
1565,0.0
1566,2.0
1567,0.0
1568,2.0
1569,0.0
1570,0.0
1571,0.0
1572,1.0
1573,0.0
1574,1.0
1575,0.0
1576,3.0
1577,1.0
1578,1.0
1579,1.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,1.0
1585,0.0
1586,0.0
1587,0.0
1588,2.0
1589,1.0
1590,1.0
1591,0.0
1592,0.0
1593,2.0
1594,2.0
1595,2.0
1596,2.0
1597,1.0
1598,1.0
1599,3.0
1600,5.0
1601,0.0
1602,0.0
1603,2.0
1604,0.0
1605,1.0
1606,1.0
1607,2.0
1608,2.0
1609,2.0
1610,3.0
1611,1.0
1612,2.0
1613,0.0
1614,1.0
1615,10.0
1616,0.0
1617,0.0
1618,3.0
1619,0.0
1620,0.0
1621,1.0
1622,3.0
1623,0.0
1624,1.0
1625,1.0
1626,0.0
1627,1.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,3.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,1.0
1638,0.0
1639,2.0
1640,3.0
1641,1.0
1642,0.0
1643,1.0
1644,2.0
1645,0.0
1646,0.0
1647,1.0
1648,0.0
1649,0.0
1650,5.0
1651,4.0
1652,1.0
1653,1.0
1654,0.0
1655,1.0
1656,0.0
1657,1.0
1658,1.0
1659,3.0
1660,1.0
1661,0.0
1662,3.0
1663,0.0
1664,0.0
1665,0.0
1666,3.0
1667,0.0
1668,0.0
1669,4.0
1670,2.0
1671,5.0
1672,0.0
1673,1.0
1674,0.0
1675,0.0
1676,0.0
1677,3.0
1678,3.0
1679,1.0
1680,0.0
1681,1.0
1682,0.0
1683,0.0
1684,1.0
1685,1.0
1686,0.0
1687,2.0
1688,0.0
1689,4.0
1690,2.0
1691,0.0
1692,1.0
1693,0.0
1694,0.0
1695,1.0
1696,4.0
1697,1.0
1698,1.0
1699,2.0
1700,1.0
1701,1.0
1702,2.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,1.0
1708,1.0
1709,0.0
1710,1.0
1711,2.0
1712,0.0
1713,0.0
1714,0.0
1715,1.0
1716,1.0
1717,0.0
1718,0.0
1719,1.0
1720,0.0
1721,1.0
1722,1.0
1723,0.0
1724,1.0
1725,5.0
1726,1.0
1727,1.0
1728,1.0
1729,0.0
1730,1.0
1731,0.0
1732,1.0
1733,1.0
1734,2.0
1735,0.0
1736,1.0
1737,1.0
1738,0.0
1739,2.0
1740,0.0
1741,0.0
1742,1.0
1743,1.0
1744,2.0
1745,3.0
1746,0.0
1747,0.0
1748,0.0
1749,2.0
1750,0.0
1751,0.0
1752,2.0
1753,3.0
1754,1.0
1755,3.0
1756,1.0
1757,1.0
1758,2.0
1759,0.0
1760,0.0
1761,1.0
1762,1.0
1763,1.0
1764,0.0
1765,1.0
1766,0.0
1767,0.0
1768,1.0
1769,0.0
1770,1.0
1771,2.0
1772,0.0
1773,0.0
1774,1.0
1775,0.0
1776,0.0
1777,0.0
1778,1.0
1779,2.0
1780,0.0
1781,1.0
1782,0.0
1783,1.0
1784,0.0
1785,4.0
1786,2.0
1787,1.0
1788,0.0
1789,3.0
1790,3.0
1791,0.0
1792,2.0
1793,1.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,2.0
1799,1.0
1800,2.0
1801,0.0
1802,0.0
1803,2.0
1804,4.0
1805,2.0
1806,0.0
1807,0.0
1808,2.0
1809,1.0
1810,0.0
1811,0.0
1812,0.0
1813,1.0
1814,2.0
1815,0.0
1816,0.0
1817,0.0
1818,2.0
1819,0.0
1820,0.0
1821,0.0
1822,3.0
1823,1.0
1824,3.0
1825,1.0
1826,5.0
1827,0.0
1828,3.0
1829,1.0
1830,1.0
1831,0.0
1832,1.0
1833,0.0
1834,1.0
1835,2.0
1836,0.0
1837,1.0
1838,0.0
1839,2.0
1840,0.0
1841,1.0
1842,0.0
1843,0.0
1844,2.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,2.0
1851,1.0
1852,4.0
1853,0.0
1854,0.0
1855,0.0
1856,2.0
1857,0.0
1858,0.0
1859,1.0
1860,2.0
1861,0.0
1862,0.0
1863,1.0
1864,0.0
1865,2.0
1866,1.0
1867,1.0
1868,0.0
1869,0.0
1870,1.0
1871,2.0
1872,1.0
1873,3.0
1874,0.0
1875,4.0
1876,0.0
1877,1.0
1878,0.0
1879,4.0
1880,2.0
1881,0.0
1882,0.0
1883,3.0
1884,3.0
1885,2.0
1886,3.0
1887,2.0
1888,0.0
1889,0.0
1890,0.0
1891,1.0
1892,3.0
1893,2.0
1894,3.0
1895,1.0
1896,2.0
1897,0.0
1898,0.0
1899,3.0
1900,0.0
1901,1.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,1.0
1907,4.0
1908,2.0
1909,1.0
1910,1.0
1911,0.0
1912,0.0
1913,0.0
1914,2.0
1915,1.0
1916,2.0
1917,2.0
1918,0.0
1919,1.0
1920,0.0
1921,0.0
1922,0.0
1923,3.0
1924,0.0
1925,0.0
1926,0.0
1927,2.0
1928,2.0
1929,0.0
1930,0.0
1931,0.0
1932,1.0
1933,1.0
1934,0.0
1935,0.0
1936,1.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,4.0
1942,1.0
1943,0.0
1944,4.0
1945,1.0
1946,1.0
1947,0.0
1948,1.0
1949,0.0
1950,0.0
1951,1.0
1952,1.0
1953,3.0
1954,0.0
1955,0.0
1956,1.0
1957,1.0
1958,1.0
1959,0.0
1960,4.0
1961,0.0
1962,0.0
1963,1.0
1964,4.0
1965,0.0
1966,5.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,1.0
1974,0.0
1975,1.0
1976,0.0
1977,1.0
1978,0.0
1979,3.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,2.0
1986,0.0
1987,0.0
1988,0.0
1989,2.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,1.0
1995,2.0
1996,0.0
1997,1.0
1998,0.0
1999,0.0
2000,2.0
2001,3.0
2002,0.0
2003,4.0
2004,2.0
2005,1.0
2006,4.0
2007,2.0
2008,0.0
2009,0.0
2010,0.0
2011,2.0
2012,0.0
2013,1.0
2014,0.0
2015,0.0
2016,1.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,2.0
2022,4.0
2023,1.0
2024,0.0
2025,1.0
2026,1.0
2027,0.0
2028,0.0
2029,1.0
2030,1.0
2031,1.0
2032,0.0
2033,0.0
2034,0.0
2035,3.0
2036,2.0
2037,3.0
2038,0.0
2039,0.0
2040,3.0
2041,1.0
2042,0.0
2043,0.0
2044,2.0
2045,0.0
2046,0.0
2047,5.0
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,0.0
2053,3.0
2054,1.0
2055,0.0
2056,2.0
2057,0.0
2058,1.0
2059,0.0
2060,3.0
2061,0.0
2062,2.0
2063,2.0
2064,2.0
2065,0.0
2066,2.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,1.0
2072,1.0
2073,1.0
2074,0.0
2075,1.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,3.0
2082,0.0
2083,2.0
2084,1.0
2085,2.0
2086,2.0
2087,2.0
2088,3.0
2089,0.0
2090,2.0
2091,0.0
2092,2.0
2093,0.0
2094,1.0
2095,1.0
2096,1.0
2097,0.0
2098,2.0
2099,1.0
2100,0.0
2101,4.0
2102,0.0
2103,1.0
2104,0.0
2105,3.0
2106,0.0
2107,0.0
2108,1.0
2109,0.0
2110,0.0
2111,1.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,1.0
2117,4.0
2118,1.0
2119,2.0
2120,2.0
2121,4.0
2122,2.0
2123,0.0
2124,4.0
2125,5.0
2126,0.0
2127,0.0
2128,2.0
2129,0.0
2130,0.0
2131,4.0
2132,2.0
2133,2.0
2134,19.0
2135,2.0
2136,1.0
2137,1.0
2138,0.0
