,Slc17a7
985,21.0
986,9.0
987,24.0
988,60.0
989,14.0
990,5.0
991,4.0
992,25.0
993,36.0
994,2.0
995,3.0
996,2.0
997,3.0
998,0.0
999,33.0
1000,5.0
1001,50.0
1002,46.0
1003,27.0
1004,55.0
1005,0.0
1006,81.0
1007,126.0
1008,65.0
1009,81.0
1010,99.0
1011,104.0
1012,74.0
1013,10.0
1014,29.0
1015,31.0
1016,2.0
1017,1.0
1018,1.0
1019,81.0
1020,81.0
1021,43.0
1022,6.0
1023,50.0
1024,4.0
1025,71.0
1026,33.0
1027,2.0
1028,2.0
1029,6.0
1030,84.0
1031,70.0
1032,7.0
1033,95.0
1034,54.0
1035,138.0
1036,23.0
1037,91.0
1038,124.0
1039,7.0
1040,81.0
1041,77.0
1042,38.0
1043,16.0
1044,89.0
1045,0.0
1046,6.0
1047,15.0
1048,22.0
1049,89.0
1050,33.0
1051,67.0
1052,68.0
1053,3.0
1054,129.0
1055,44.0
1056,4.0
1057,107.0
1058,92.0
1059,22.0
1060,110.0
1061,7.0
1062,42.0
1063,0.0
1064,0.0
1065,72.0
1066,2.0
1067,1.0
1068,20.0
1069,71.0
1070,3.0
1071,20.0
1072,0.0
1073,80.0
1074,41.0
1075,50.0
1076,60.0
1077,40.0
1078,11.0
1079,92.0
1080,3.0
1081,14.0
1082,58.0
1083,10.0
1084,43.0
1085,8.0
1086,64.0
1087,14.0
1088,22.0
1089,44.0
1090,47.0
1091,3.0
1092,65.0
1093,61.0
1094,0.0
1095,105.0
1096,76.0
1097,3.0
1098,11.0
1099,65.0
1100,2.0
1101,84.0
1102,110.0
1103,29.0
1104,65.0
1105,17.0
1106,14.0
1107,24.0
1108,2.0
1109,95.0
1110,82.0
1111,110.0
1112,36.0
1113,54.0
1114,0.0
1115,8.0
1116,65.0
1117,15.0
1118,0.0
1119,25.0
1120,110.0
1121,68.0
1122,32.0
1123,12.0
1124,68.0
1125,20.0
1126,19.0
1127,17.0
1128,45.0
1129,2.0
1130,9.0
1131,3.0
1132,29.0
1133,86.0
1134,66.0
1135,98.0
1136,9.0
1137,75.0
1138,149.0
1139,96.0
1140,41.0
1141,98.0
1142,33.0
1143,8.0
1144,113.0
1145,7.0
1146,1.0
1147,25.0
1148,7.0
1149,121.0
1150,12.0
1151,7.0
1152,2.0
1153,1.0
1154,15.0
1155,14.0
1156,4.0
1157,30.0
1158,7.0
1159,3.0
1160,0.0
1161,16.0
1162,84.0
1163,61.0
1164,1.0
1165,52.0
1166,7.0
1167,79.0
1168,67.0
1169,36.0
1170,32.0
1171,41.0
1172,44.0
1173,5.0
1174,0.0
1175,42.0
1176,42.0
1177,11.0
1178,17.0
1179,8.0
1180,50.0
1181,45.0
1182,3.0
1183,47.0
1184,4.0
1185,66.0
1186,65.0
1187,10.0
1188,34.0
1189,40.0
1190,50.0
1191,7.0
1192,13.0
1193,9.0
1194,40.0
1195,64.0
1196,46.0
1197,86.0
1198,3.0
1199,3.0
1200,92.0
1201,10.0
1202,9.0
1203,97.0
1204,55.0
1205,3.0
1206,0.0
1207,13.0
1208,41.0
1209,18.0
1210,1.0
1211,48.0
1212,9.0
1213,83.0
1214,2.0
1215,49.0
1216,49.0
1217,20.0
1218,2.0
1219,64.0
1220,22.0
1221,18.0
1222,81.0
1223,55.0
1224,20.0
1225,7.0
1226,21.0
