,Chrm3
1301,0.0
1302,11.0
1303,4.0
1304,7.0
1305,2.0
1306,2.0
1307,3.0
1308,2.0
1309,14.0
1310,5.0
1311,6.0
1312,1.0
1313,13.0
1314,9.0
1315,0.0
1316,2.0
1317,3.0
1318,0.0
1319,1.0
1320,13.0
1321,20.0
1322,1.0
1323,17.0
1324,0.0
1325,9.0
1326,5.0
1327,0.0
1328,4.0
1329,8.0
1330,8.0
1331,3.0
1332,16.0
1333,3.0
1334,2.0
1335,7.0
1336,2.0
1337,16.0
1338,0.0
1339,4.0
1340,2.0
1341,1.0
1342,1.0
1343,1.0
1344,0.0
1345,7.0
1346,7.0
1347,3.0
1348,0.0
1349,5.0
1350,7.0
1351,0.0
1352,3.0
1353,5.0
1354,12.0
1355,0.0
1356,0.0
1357,1.0
1358,2.0
1359,1.0
1360,11.0
1361,12.0
1362,5.0
1363,0.0
1364,0.0
1365,2.0
1366,4.0
1367,4.0
1368,11.0
1369,2.0
1370,2.0
1371,14.0
1372,4.0
1373,1.0
1374,2.0
1375,8.0
1376,4.0
1377,8.0
1378,1.0
1379,0.0
1380,13.0
1381,6.0
1382,8.0
1383,0.0
1384,1.0
1385,1.0
1386,2.0
1387,0.0
1388,1.0
1389,0.0
1390,0.0
1391,8.0
1392,5.0
1393,0.0
1394,5.0
1395,4.0
1396,0.0
1397,3.0
1398,2.0
1399,0.0
1400,0.0
1401,1.0
1402,0.0
1403,1.0
1404,4.0
1405,0.0
1406,3.0
1407,3.0
1408,1.0
1409,2.0
1410,5.0
1411,11.0
1412,0.0
1413,7.0
1414,0.0
1415,2.0
1416,2.0
1417,1.0
1418,0.0
1419,1.0
1420,19.0
1421,8.0
1422,2.0
1423,0.0
1424,14.0
1425,11.0
1426,3.0
1427,3.0
1428,1.0
1429,8.0
1430,2.0
1431,6.0
1432,0.0
1433,6.0
1434,0.0
1435,10.0
1436,2.0
1437,0.0
1438,8.0
1439,1.0
1440,1.0
1441,4.0
1442,2.0
1443,5.0
1444,1.0
1445,2.0
1446,1.0
1447,0.0
