,Grm5
854,15.0
855,9.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,22.0
863,5.0
864,0.0
865,6.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,1.0
872,0.0
873,0.0
874,0.0
875,0.0
876,1.0
877,3.0
878,0.0
879,0.0
880,9.0
881,0.0
882,13.0
883,0.0
884,3.0
885,1.0
886,0.0
887,0.0
888,0.0
889,0.0
890,28.0
891,0.0
892,0.0
893,6.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,1.0
901,1.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,2.0
914,0.0
915,0.0
916,0.0
917,1.0
918,0.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,12.0
931,0.0
932,1.0
933,0.0
934,0.0
935,0.0
936,0.0
937,9.0
938,11.0
939,21.0
940,6.0
941,6.0
942,22.0
943,0.0
944,23.0
945,26.0
946,1.0
947,12.0
948,0.0
949,1.0
950,0.0
951,12.0
952,1.0
953,0.0
954,1.0
955,0.0
956,15.0
957,0.0
958,8.0
959,11.0
960,12.0
961,0.0
962,0.0
963,0.0
964,17.0
965,14.0
966,0.0
967,1.0
968,12.0
969,23.0
970,23.0
971,1.0
972,9.0
973,2.0
974,8.0
975,6.0
976,23.0
977,25.0
978,4.0
979,8.0
980,8.0
981,1.0
982,11.0
983,5.0
984,6.0
985,5.0
986,0.0
987,3.0
988,8.0
989,2.0
990,2.0
991,1.0
992,6.0
993,10.0
994,0.0
995,0.0
996,0.0
997,1.0
998,0.0
999,4.0
1000,0.0
1001,16.0
1002,16.0
1003,5.0
1004,11.0
1005,0.0
1006,26.0
1007,16.0
1008,17.0
1009,22.0
1010,15.0
1011,22.0
1012,14.0
1013,3.0
1014,7.0
1015,6.0
1016,0.0
1017,3.0
1018,0.0
1019,19.0
1020,10.0
1021,19.0
1022,2.0
1023,11.0
1024,1.0
1025,16.0
1026,5.0
1027,0.0
1028,2.0
1029,0.0
1030,16.0
1031,14.0
1032,0.0
1033,11.0
1034,17.0
1035,30.0
1036,9.0
1037,21.0
1038,29.0
1039,1.0
1040,15.0
1041,14.0
1042,2.0
1043,6.0
1044,24.0
1045,0.0
1046,0.0
1047,1.0
1048,6.0
1049,12.0
1050,12.0
1051,13.0
1052,18.0
1053,32.0
1054,27.0
1055,7.0
1056,11.0
1057,18.0
1058,18.0
1059,3.0
1060,13.0
1061,0.0
1062,15.0
1063,3.0
1064,0.0
1065,16.0
1066,1.0
1067,0.0
1068,3.0
1069,18.0
1070,0.0
1071,3.0
1072,0.0
1073,12.0
1074,5.0
1075,12.0
