,Lmtk2
1192,5.0
1193,12.0
1194,16.0
1195,24.0
1196,14.0
1197,25.0
1198,8.0
1199,2.0
1200,14.0
1201,2.0
1202,3.0
1203,24.0
1204,14.0
1205,9.0
1206,0.0
1207,3.0
1208,9.0
1209,5.0
1210,1.0
1211,7.0
1212,1.0
1213,19.0
1214,1.0
1215,12.0
1216,11.0
1217,3.0
1218,2.0
1219,16.0
1220,7.0
1221,6.0
1222,16.0
1223,13.0
1224,4.0
1225,2.0
1226,7.0
1227,19.0
1228,9.0
1229,0.0
1230,17.0
1231,16.0
1232,2.0
1233,2.0
1234,35.0
1235,18.0
1236,0.0
1237,24.0
1238,19.0
1239,5.0
1240,5.0
1241,0.0
1242,27.0
1243,0.0
1244,3.0
1245,17.0
1246,31.0
1247,4.0
1248,16.0
1249,1.0
1250,13.0
1251,2.0
1252,13.0
1253,1.0
1254,0.0
1255,19.0
1256,5.0
1257,0.0
1258,1.0
1259,23.0
1260,19.0
1261,4.0
1262,16.0
1263,9.0
1264,1.0
1265,19.0
1266,3.0
1267,29.0
1268,8.0
1269,14.0
1270,13.0
1271,26.0
1272,20.0
1273,12.0
1274,15.0
1275,1.0
1276,8.0
1277,10.0
1278,22.0
1279,18.0
1280,5.0
1281,15.0
1282,0.0
1283,8.0
1284,10.0
1285,4.0
1286,11.0
1287,3.0
1288,13.0
1289,3.0
1290,1.0
1291,13.0
1292,3.0
1293,4.0
1294,1.0
1295,1.0
1296,5.0
1297,35.0
1298,7.0
1299,12.0
1300,25.0
1301,12.0
1302,7.0
1303,16.0
1304,7.0
1305,4.0
1306,10.0
1307,4.0
1308,25.0
1309,23.0
1310,22.0
1311,26.0
1312,14.0
1313,14.0
1314,21.0
1315,4.0
1316,15.0
1317,3.0
1318,5.0
1319,10.0
1320,26.0
1321,27.0
1322,2.0
1323,20.0
1324,1.0
1325,7.0
1326,19.0
1327,4.0
1328,30.0
1329,20.0
1330,20.0
1331,8.0
1332,37.0
1333,12.0
1334,1.0
1335,22.0
1336,8.0
1337,27.0
1338,0.0
1339,11.0
1340,17.0
1341,13.0
1342,23.0
1343,4.0
1344,9.0
1345,9.0
1346,16.0
1347,11.0
1348,0.0
1349,5.0
1350,10.0
1351,0.0
