,Cspg5
776,1.0
777,4.0
778,1.0
779,2.0
780,14.0
781,0.0
782,6.0
783,14.0
784,3.0
785,2.0
786,4.0
787,41.0
788,1.0
789,1.0
790,16.0
791,12.0
792,16.0
793,10.0
794,6.0
795,6.0
796,5.0
797,2.0
798,9.0
799,7.0
800,17.0
801,4.0
802,8.0
803,7.0
804,6.0
805,34.0
806,11.0
807,16.0
808,3.0
809,11.0
810,12.0
811,4.0
812,12.0
813,12.0
814,5.0
815,10.0
816,4.0
817,1.0
818,14.0
819,0.0
820,2.0
821,4.0
822,19.0
823,16.0
824,4.0
825,40.0
826,21.0
827,0.0
828,2.0
829,11.0
830,41.0
831,5.0
832,3.0
833,0.0
834,11.0
835,3.0
836,7.0
837,5.0
838,7.0
839,6.0
840,1.0
841,9.0
842,0.0
843,22.0
844,4.0
845,1.0
846,3.0
847,7.0
848,3.0
849,0.0
850,15.0
851,0.0
852,4.0
853,6.0
854,17.0
855,9.0
856,17.0
857,5.0
858,2.0
859,8.0
860,4.0
861,22.0
862,13.0
863,49.0
864,1.0
865,4.0
866,34.0
867,0.0
868,6.0
869,4.0
870,2.0
871,2.0
872,24.0
873,0.0
874,1.0
875,0.0
876,2.0
877,13.0
878,9.0
879,1.0
880,9.0
881,2.0
882,6.0
883,38.0
884,3.0
885,3.0
886,2.0
887,3.0
888,3.0
889,2.0
890,32.0
891,1.0
892,3.0
893,5.0
894,12.0
895,1.0
896,3.0
897,1.0
898,1.0
899,8.0
900,18.0
901,18.0
902,27.0
903,16.0
904,21.0
905,5.0
906,4.0
907,2.0
908,23.0
909,42.0
910,0.0
911,14.0
912,0.0
913,4.0
914,5.0
915,23.0
916,1.0
917,2.0
918,19.0
919,5.0
920,0.0
921,3.0
922,23.0
923,0.0
924,2.0
925,5.0
926,3.0
927,19.0
928,38.0
929,10.0
930,13.0
931,4.0
932,24.0
933,0.0
934,8.0
935,9.0
936,14.0
937,8.0
938,21.0
939,12.0
940,4.0
941,8.0
942,32.0
943,44.0
944,11.0
945,11.0
946,26.0
947,14.0
948,43.0
949,3.0
950,12.0
951,7.0
952,25.0
953,6.0
954,39.0
955,0.0
956,22.0
957,0.0
958,12.0
959,11.0
960,12.0
961,2.0
962,8.0
963,8.0
964,23.0
965,19.0
966,5.0
967,3.0
968,14.0
969,29.0
970,15.0
971,2.0
972,23.0
973,2.0
974,15.0
975,6.0
976,28.0
977,21.0
978,9.0
979,16.0
980,8.0
981,30.0
982,8.0
983,19.0
984,9.0
985,13.0
986,1.0
987,3.0
988,12.0
989,5.0
990,2.0
991,3.0
992,7.0
993,5.0
994,0.0
995,2.0
996,19.0
997,2.0
998,0.0
999,8.0
1000,3.0
1001,9.0
1002,8.0
1003,1.0
1004,12.0
1005,18.0
1006,15.0
1007,15.0
1008,18.0
1009,19.0
1010,13.0
1011,15.0
1012,21.0
1013,1.0
1014,8.0
1015,9.0
1016,0.0
1017,2.0
1018,6.0
1019,13.0
1020,9.0
1021,17.0
1022,1.0
1023,16.0
1024,6.0
1025,18.0
1026,1.0
1027,14.0
1028,49.0
1029,2.0
1030,20.0
1031,12.0
1032,22.0
1033,24.0
1034,8.0
1035,37.0
1036,14.0
1037,19.0
1038,17.0
1039,1.0
1040,20.0
1041,20.0
1042,7.0
1043,1.0
1044,21.0
1045,1.0
1046,1.0
1047,4.0
1048,8.0
1049,14.0
1050,11.0
1051,9.0
1052,17.0
1053,33.0
1054,20.0
1055,12.0
1056,16.0
1057,19.0
1058,18.0
1059,21.0
1060,17.0
1061,6.0
1062,16.0
1063,5.0
1064,2.0
1065,13.0
1066,1.0
1067,8.0
1068,6.0
1069,22.0
1070,13.0
1071,4.0
1072,0.0
1073,15.0
1074,19.0
1075,11.0
1076,14.0
1077,7.0
1078,3.0
1079,18.0
1080,2.0
1081,12.0
1082,15.0
1083,4.0
1084,10.0
1085,10.0
1086,8.0
1087,4.0
1088,3.0
1089,12.0
1090,15.0
1091,4.0
1092,19.0
1093,19.0
1094,0.0
1095,21.0
1096,13.0
1097,0.0
1098,1.0
1099,9.0
1100,1.0
1101,25.0
1102,22.0
1103,12.0
1104,20.0
1105,7.0
1106,2.0
1107,7.0
1108,4.0
1109,14.0
1110,17.0
1111,20.0
1112,6.0
1113,6.0
1114,12.0
1115,39.0
1116,11.0
1117,4.0
