,Adora1
944,0.0
945,0.0
946,1.0
947,0.0
948,0.0
949,0.0
950,1.0
951,0.0
952,1.0
953,1.0
954,1.0
955,0.0
956,1.0
957,0.0
958,0.0
959,0.0
960,4.0
961,0.0
962,0.0
963,0.0
964,4.0
965,2.0
966,1.0
967,1.0
968,1.0
969,1.0
970,1.0
971,0.0
972,8.0
973,0.0
974,0.0
975,1.0
976,3.0
977,2.0
978,3.0
979,6.0
980,2.0
981,0.0
982,6.0
983,3.0
984,2.0
985,3.0
986,0.0
987,0.0
988,1.0
989,1.0
990,0.0
991,0.0
992,2.0
993,1.0
994,1.0
995,0.0
996,0.0
997,1.0
998,0.0
999,3.0
1000,0.0
1001,1.0
1002,1.0
1003,1.0
1004,1.0
1005,0.0
1006,1.0
1007,5.0
1008,4.0
1009,1.0
1010,4.0
1011,2.0
1012,4.0
1013,1.0
1014,2.0
1015,4.0
1016,1.0
1017,0.0
1018,0.0
1019,1.0
1020,1.0
1021,5.0
1022,0.0
1023,1.0
1024,3.0
1025,0.0
1026,0.0
1027,0.0
1028,4.0
1029,0.0
1030,3.0
1031,1.0
1032,1.0
1033,2.0
1034,3.0
1035,5.0
1036,0.0
1037,6.0
1038,2.0
1039,2.0
1040,4.0
1041,3.0
1042,1.0
1043,0.0
1044,4.0
1045,2.0
1046,0.0
1047,2.0
1048,2.0
1049,1.0
1050,1.0
1051,1.0
1052,3.0
1053,1.0
1054,1.0
1055,4.0
1056,1.0
1057,3.0
1058,5.0
1059,1.0
1060,3.0
1061,0.0
1062,1.0
1063,0.0
1064,0.0
1065,5.0
1066,0.0
1067,0.0
1068,1.0
1069,2.0
1070,0.0
1071,6.0
1072,0.0
1073,3.0
1074,1.0
1075,1.0
1076,5.0
1077,3.0
1078,1.0
1079,4.0
1080,1.0
1081,0.0
1082,5.0
1083,4.0
1084,5.0
1085,0.0
1086,6.0
1087,0.0
1088,5.0
1089,2.0
1090,1.0
1091,0.0
1092,10.0
1093,6.0
1094,0.0
1095,1.0
1096,2.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,9.0
1102,10.0
1103,1.0
1104,2.0
1105,2.0
1106,0.0
1107,7.0
1108,2.0
1109,2.0
1110,1.0
1111,3.0
1112,1.0
1113,3.0
1114,1.0
1115,2.0
1116,2.0
1117,4.0
1118,1.0
1119,4.0
1120,8.0
1121,1.0
1122,5.0
1123,1.0
1124,1.0
1125,0.0
1126,0.0
1127,1.0
1128,2.0
1129,0.0
1130,0.0
1131,1.0
1132,3.0
1133,6.0
1134,3.0
1135,6.0
1136,0.0
1137,3.0
1138,3.0
1139,5.0
1140,1.0
1141,10.0
1142,1.0
1143,0.0
1144,6.0
1145,0.0
1146,0.0
1147,1.0
1148,0.0
1149,3.0
1150,2.0
1151,1.0
1152,1.0
1153,0.0
1154,0.0
1155,2.0
1156,0.0
1157,3.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,3.0
1163,9.0
1164,0.0
1165,9.0
1166,1.0
1167,5.0
1168,8.0
1169,3.0
1170,6.0
1171,0.0
1172,3.0
1173,1.0
1174,2.0
1175,8.0
1176,5.0
1177,0.0
1178,0.0
1179,1.0
1180,3.0
1181,3.0
