,Celsr2
704,7.0
705,3.0
706,5.0
707,0.0
708,12.0
709,1.0
710,2.0
711,5.0
712,6.0
713,0.0
714,0.0
715,3.0
716,5.0
717,4.0
718,12.0
719,4.0
720,2.0
721,1.0
722,0.0
723,8.0
724,0.0
725,3.0
726,7.0
727,5.0
728,4.0
729,0.0
730,0.0
731,0.0
732,0.0
733,3.0
734,7.0
735,10.0
736,7.0
737,5.0
738,0.0
739,2.0
740,0.0
741,11.0
742,3.0
743,3.0
744,1.0
745,1.0
746,0.0
747,0.0
748,5.0
749,5.0
750,0.0
751,12.0
752,1.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,5.0
760,1.0
761,0.0
762,6.0
763,3.0
764,1.0
765,2.0
766,1.0
767,2.0
768,5.0
769,0.0
770,0.0
771,9.0
772,1.0
773,0.0
774,3.0
775,1.0
776,0.0
777,4.0
778,1.0
779,0.0
780,11.0
781,1.0
782,8.0
783,4.0
784,1.0
785,3.0
786,2.0
787,2.0
788,1.0
789,2.0
790,8.0
791,11.0
792,7.0
793,7.0
794,0.0
795,0.0
796,0.0
797,0.0
798,10.0
799,7.0
800,1.0
801,10.0
802,6.0
803,10.0
804,5.0
805,1.0
806,4.0
807,6.0
808,0.0
809,11.0
810,1.0
811,1.0
812,0.0
813,0.0
814,1.0
815,4.0
816,8.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,12.0
823,2.0
824,2.0
825,1.0
826,9.0
827,0.0
828,0.0
829,13.0
830,5.0
831,0.0
832,0.0
833,0.0
834,6.0
835,2.0
836,1.0
837,0.0
838,3.0
839,2.0
840,0.0
841,0.0
842,0.0
843,1.0
844,5.0
845,0.0
846,0.0
847,0.0
848,3.0
849,2.0
850,7.0
851,0.0
852,2.0
853,3.0
854,4.0
855,4.0
856,2.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,14.0
863,0.0
864,0.0
865,0.0
866,2.0
867,1.0
868,0.0
869,0.0
870,0.0
871,0.0
872,1.0
873,0.0
874,0.0
875,0.0
876,1.0
877,2.0
878,0.0
879,0.0
880,4.0
881,0.0
882,5.0
883,1.0
884,1.0
885,2.0
886,0.0
887,0.0
888,0.0
889,0.0
890,15.0
891,0.0
892,0.0
893,3.0
894,0.0
895,0.0
896,0.0
897,1.0
898,0.0
899,0.0
900,0.0
901,2.0
902,0.0
903,0.0
904,0.0
905,2.0
906,0.0
907,0.0
908,0.0
909,1.0
910,0.0
911,0.0
912,0.0
913,1.0
914,0.0
915,0.0
916,0.0
917,0.0
918,2.0
919,0.0
920,0.0
921,0.0
922,1.0
923,0.0
924,1.0
925,0.0
926,0.0
927,0.0
928,1.0
929,0.0
930,6.0
931,0.0
932,1.0
933,0.0
934,2.0
935,0.0
936,1.0
937,3.0
938,10.0
939,8.0
940,3.0
941,5.0
942,12.0
943,2.0
944,8.0
945,8.0
946,2.0
947,3.0
948,0.0
949,0.0
950,0.0
951,5.0
952,1.0
953,0.0
954,0.0
955,0.0
956,10.0
957,1.0
958,5.0
959,5.0
960,9.0
961,0.0
962,1.0
963,4.0
964,5.0
965,10.0
966,0.0
967,1.0
968,8.0
969,15.0
970,7.0
971,0.0
972,15.0
973,1.0
974,10.0
975,2.0
976,13.0
977,13.0
978,4.0
979,9.0
980,6.0
981,2.0
982,6.0
983,5.0
984,5.0
985,7.0
986,1.0
987,2.0
988,8.0
989,3.0
990,1.0
991,0.0
992,4.0
993,3.0
994,0.0
995,0.0
996,1.0
997,0.0
998,0.0
999,4.0
1000,0.0
1001,9.0
1002,7.0
1003,0.0
1004,8.0
1005,0.0
1006,9.0
1007,12.0
1008,13.0
1009,11.0
1010,8.0
1011,18.0
1012,11.0
1013,3.0
1014,2.0
1015,4.0
1016,1.0
1017,1.0
1018,0.0
1019,7.0
1020,11.0
1021,3.0
1022,0.0
1023,4.0
1024,2.0
1025,4.0
1026,6.0
1027,1.0
