,Syt4
1433,15.0
1434,0.0
1435,16.0
1436,1.0
1437,0.0
1438,7.0
1439,2.0
1440,7.0
1441,4.0
1442,9.0
1443,8.0
1444,9.0
1445,9.0
1446,6.0
1447,5.0
1448,1.0
1449,17.0
1450,5.0
1451,7.0
1452,18.0
1453,1.0
1454,12.0
1455,3.0
1456,0.0
1457,7.0
1458,9.0
1459,25.0
1460,20.0
1461,10.0
1462,3.0
1463,8.0
1464,6.0
1465,9.0
1466,25.0
1467,10.0
1468,0.0
1469,3.0
1470,7.0
1471,18.0
1472,6.0
1473,15.0
1474,1.0
1475,3.0
1476,13.0
1477,16.0
1478,5.0
1479,2.0
1480,7.0
1481,1.0
1482,8.0
1483,15.0
1484,0.0
1485,29.0
1486,16.0
1487,22.0
1488,16.0
1489,0.0
1490,10.0
1491,13.0
1492,3.0
1493,17.0
1494,16.0
1495,13.0
1496,7.0
1497,24.0
1498,0.0
1499,11.0
1500,3.0
1501,2.0
1502,2.0
1503,2.0
1504,4.0
1505,1.0
1506,26.0
1507,2.0
1508,16.0
1509,0.0
1510,13.0
1511,10.0
1512,0.0
1513,0.0
1514,2.0
1515,4.0
1516,18.0
1517,0.0
1518,4.0
1519,10.0
1520,0.0
1521,0.0
1522,1.0
1523,5.0
1524,21.0
1525,6.0
1526,25.0
1527,0.0
1528,10.0
1529,4.0
1530,0.0
1531,10.0
1532,17.0
1533,5.0
1534,0.0
1535,4.0
1536,0.0
1537,1.0
1538,1.0
1539,15.0
1540,10.0
1541,0.0
1542,3.0
1543,6.0
1544,7.0
1545,6.0
1546,7.0
1547,13.0
1548,4.0
1549,12.0
1550,10.0
1551,0.0
1552,21.0
1553,0.0
1554,12.0
1555,3.0
1556,10.0
1557,4.0
1558,5.0
1559,6.0
1560,9.0
1561,10.0
1562,7.0
1563,9.0
1564,13.0
1565,22.0
1566,26.0
1567,5.0
1568,4.0
1569,3.0
1570,26.0
1571,0.0
1572,5.0
1573,25.0
1574,15.0
1575,3.0
1576,17.0
1577,22.0
1578,15.0
1579,3.0
1580,1.0
1581,5.0
1582,9.0
1583,25.0
1584,16.0
1585,2.0
1586,0.0
1587,0.0
1588,16.0
1589,13.0
1590,4.0
1591,3.0
1592,2.0
1593,12.0
1594,25.0
1595,25.0
1596,8.0
1597,5.0
1598,17.0
1599,9.0
1600,16.0
1601,0.0
1602,12.0
1603,13.0
1604,3.0
1605,0.0
1606,11.0
1607,6.0
1608,17.0
1609,12.0
1610,25.0
1611,10.0
1612,19.0
1613,0.0
1614,12.0
1615,9.0
1616,6.0
1617,0.0
1618,23.0
1619,0.0
1620,3.0
1621,1.0
1622,14.0
1623,0.0
1624,8.0
1625,7.0
1626,0.0
1627,1.0
1628,2.0
1629,4.0
1630,8.0
1631,2.0
1632,25.0
1633,1.0
1634,9.0
1635,13.0
1636,3.0
1637,14.0
1638,9.0
1639,26.0
1640,17.0
1641,22.0
1642,7.0
1643,31.0
1644,14.0
1645,9.0
1646,4.0
1647,15.0
1648,0.0
1649,1.0
1650,27.0
1651,13.0
1652,21.0
1653,7.0
1654,9.0
1655,7.0
1656,2.0
1657,12.0
1658,17.0
1659,24.0
1660,10.0
1661,7.0
1662,21.0
1663,1.0
1664,16.0
1665,8.0
1666,16.0
1667,6.0
1668,1.0
1669,18.0
1670,31.0
1671,24.0
1672,7.0
1673,21.0
1674,0.0
1675,0.0
1676,12.0
1677,21.0
1678,6.0
1679,14.0
1680,17.0
1681,16.0
1682,3.0
1683,0.0
1684,2.0
1685,7.0
