,Gabbr2
809,38.0
810,20.0
811,11.0
812,0.0
813,2.0
814,5.0
815,9.0
816,14.0
817,0.0
818,0.0
819,0.0
820,0.0
821,5.0
822,29.0
823,1.0
824,6.0
825,4.0
826,27.0
827,0.0
828,0.0
829,18.0
830,28.0
831,0.0
832,0.0
833,2.0
834,10.0
835,6.0
836,0.0
837,0.0
838,6.0
839,6.0
840,0.0
841,0.0
842,1.0
843,0.0
844,2.0
845,0.0
846,0.0
847,0.0
848,8.0
849,2.0
850,14.0
851,0.0
852,4.0
853,16.0
854,32.0
855,11.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,4.0
862,20.0
863,6.0
864,0.0
865,5.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,3.0
872,0.0
873,0.0
874,1.0
875,0.0
876,1.0
877,1.0
878,0.0
879,0.0
880,30.0
881,0.0
882,18.0
883,0.0
884,7.0
885,6.0
886,1.0
887,0.0
888,1.0
889,0.0
890,20.0
891,0.0
892,0.0
893,4.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,3.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,7.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,2.0
923,0.0
924,2.0
925,1.0
926,0.0
927,2.0
928,0.0
929,1.0
930,9.0
931,0.0
932,3.0
933,0.0
934,0.0
935,1.0
936,0.0
937,5.0
938,10.0
939,16.0
940,2.0
941,13.0
942,41.0
943,0.0
944,26.0
945,20.0
946,3.0
947,22.0
948,1.0
949,2.0
950,0.0
951,19.0
952,0.0
953,1.0
954,2.0
955,0.0
956,35.0
957,3.0
958,9.0
959,12.0
960,23.0
961,0.0
962,1.0
963,0.0
964,26.0
965,16.0
966,0.0
967,3.0
968,22.0
969,33.0
970,35.0
971,0.0
972,29.0
973,4.0
974,15.0
975,5.0
976,42.0
977,21.0
978,10.0
979,34.0
980,14.0
981,1.0
982,11.0
983,8.0
984,8.0
985,8.0
986,6.0
987,5.0
988,18.0
989,8.0
990,1.0
991,0.0
992,11.0
993,11.0
994,0.0
995,2.0
996,0.0
997,1.0
998,0.0
999,13.0
1000,1.0
1001,15.0
1002,15.0
1003,4.0
1004,18.0
1005,0.0
1006,24.0
1007,39.0
1008,19.0
1009,19.0
1010,23.0
1011,23.0
1012,31.0
1013,9.0
1014,5.0
1015,17.0
1016,2.0
1017,7.0
1018,0.0
1019,24.0
1020,29.0
1021,19.0
1022,5.0
