,mean,std
Taar4,0.0,0.03
Taar6,0.0,0.05
Taar7a,0.0,0.04
Taar7b,0.0,0.04
Taar7d,0.0,0.05
Taar7e,0.0,0.05
Taar7f,0.01,0.09
Taar8a,0.0,0.03
Taar8b,0.0,0.02
Taar8c,0.0,0.05
Taar9,0.01,0.06
Agtr1a,0.04,0.19
Agtr1b,0.0,0.06
Agtr2,0.04,0.17
Gpr17,0.13,0.54
Uts2r,0.01,0.1
Vipr1,0.05,0.18
Vipr2,0.03,0.17
Avpr1a,0.01,0.06
Avpr1b,0.0,0.04
Avpr2,0.0,0.04
Rrh,0.02,0.1
Vmn1r40,0.01,0.08
Vmn1r42,0.0,0.05
Vmn1r43,0.04,0.16
Vmn1r44,0.01,0.06
Vmn1r45,0.01,0.07
Vmn1r46,0.01,0.07
Vmn1r47,0.0,0.04
Vmn1r49,0.0,0.04
Vmn1r50,0.0,0.04
Vmn1r51,0.0,0.04
Vmn1r52,0.0,0.02
Vmn1r53,0.0,0.02
Vmn1r54,0.0,0.04
V1ra8,0.02,0.12
Vmn2r1,0.04,0.17
Vmn2r26,0.0,0.02
Gramd3,0.28,0.53
Plxnb3,0.19,0.51
Tjap1,0.49,0.58
Cspg5,1.56,0.98
Mki67,0.01,0.11
Cenpe,0.03,0.14
Man1a,0.36,0.57
Sema4d,0.56,0.71
Tmem108,0.32,0.5
Traf4,0.17,0.42
Gjc3,0.58,1.18
Sox8,0.47,0.71
Aldh1l1,0.41,0.67
Olig1,0.52,0.96
Pcdh15,0.34,0.59
Gad1,0.64,1.22
Syt4,1.2,1.05
Baiap2,0.83,0.86
Amigo2,0.18,0.41
Slc17a6,0.36,0.75
Slc17a7,1.5,1.62
Slc17a8,0.01,0.14
Aqp4,0.44,0.84
Mlc1,0.28,0.53
Slc15a3,0.05,0.26
Selplg,0.17,0.65
Slco1a4,0.29,0.82
Fn1,0.35,0.83
Cldn5,0.36,0.97
Emcn,0.14,0.45
Myh11,0.08,0.44
Lmod1,0.04,0.27
Atp13a5,0.15,0.55
Kcnj8,0.09,0.36
Abcc9,0.09,0.42
Cd300c2,0.05,0.26
C1qa,0.21,0.66
C1qb,0.25,0.73
Cxcl12,0.42,0.77
Arhgap29,0.41,0.71
Sox9,0.3,0.57
Slc25a18,0.38,0.65
Dlk1,0.2,0.58
Peg10,0.24,0.49
Dgkk,0.04,0.21
Chat,0.0,0.07
Grin2b,0.92,0.86
Cx3cl1,1.5,1.07
Igfbpl1,0.02,0.17
Eomes,0.01,0.09
Ascl1,0.03,0.14
Slc32a1,0.27,0.64
Th,0.05,0.39
Top2a,0.01,0.11
Acte1,0.0,0.03
Ppp1r3g,0.03,0.17
Gfap,0.5,0.95
Timp4,0.27,0.52
Anxa11,0.29,0.48
Cldn19,0.0,0.05
Rspo3,0.21,0.43
Slc47a1,0.02,0.22
Pln,0.04,0.26
Foxd3,0.0,0.03
Alk,0.18,0.42
Axl,0.3,0.57
Csf1r,0.16,0.57
Ddr1,0.52,0.72
Ddr2,0.09,0.33
Efemp1,0.16,0.46
Egfr,0.15,0.4
Epha1,0.13,0.3
Epha2,0.04,0.19
Epha3,0.17,0.37
Epha4,1.07,0.94
Epha5,0.29,0.44
Epha6,0.71,0.8
Epha7,0.61,0.71
Epha8,0.03,0.14
Epha10,0.29,0.47
Ephb1,0.48,0.67
Ephb2,0.31,0.45
Ephb3,0.2,0.38
Ephb6,0.68,0.7
Erbb2,0.09,0.29
Erbb3,0.23,0.64
Erbb4,0.51,0.82
Fgfr2,0.44,0.78
Fgfr3,0.63,0.99
Fgfr4,0.0,0.06
Fgfrl1,0.13,0.33
Flt1,0.37,0.93
Flt3,0.19,0.4
Flt4,0.07,0.29
Igf1r,1.05,0.73
Insr,0.83,0.6
